eval_results_tag,Chat,Chat Hard,Safety,Reasoning
lr_2e-6-epochs_1-fold_0,0.5642528638338694,0.506578947368421,0.4945945945945946,0.7847283813747229
lr_5e-6-epochs_1-fold_0,0.7656174003939368,0.40789473684210525,0.5054054054054054,0.795011086474501
lr_2e-6-epochs_1-fold_0,0.5642528638338694,0.506578947368421,0.4945945945945946,0.7847283813747229
lr_5e-6-epochs_1-fold_0,0.7656174003939368,0.40789473684210525,0.5054054054054054,0.795011086474501
lr_5e-6-epochs_2-fold_0,0.8059807976009093,0.39473684210526316,0.5067567567567568,0.7916943828529194
lr_2e-6-epochs_2-fold_0,0.6260147363499319,0.46271929824561403,0.5135135135135135,0.7923503325942352
lr_2e-6-epochs_2-fold_0,0.6260147363499319,0.46271929824561403,0.5135135135135135,0.7923503325942352
lr_5e-6-epochs_2-fold_0,0.8059807976009093,0.39473684210526316,0.5067567567567568,0.7916943828529194
lr_5e-6-epochs_3-fold_0,0.7788512956110724,0.4276315789473684,0.5567567567567567,0.7910661492978567
lr_2e-6-epochs_3-fold_0,0.6880527138907027,0.43859649122807015,0.5445945945945946,0.7821877309682188
lr_5e-6-epochs_3-fold_0,0.7788512956110724,0.4276315789473684,0.5567567567567567,0.7910661492978567
lr_2e-6-epochs_3-fold_0,0.6880527138907027,0.43859649122807015,0.5445945945945946,0.7821877309682188
lr_2e-6-epochs_5-fold_0,0.7259217608379619,0.4342105263157895,0.55,0.7857446415373245
lr_5e-6-epochs_5-fold_0,0.7647521369588409,0.42543859649122806,0.5472972972972973,0.7790188470066518
lr_5e-6-epochs_5-fold_0,0.7647521369588409,0.42543859649122806,0.5472972972972973,0.7790188470066518
lr_2e-6-epochs_5-fold_0,0.7259217608379619,0.4342105263157895,0.55,0.7857446415373245
