eval_results_tag,Chat,Chat Hard,Safety,Reasoning
lr_2e-6-epochs_1-fold_0,0.6162334975184136,0.46710526315789475,0.5094594594594595,0.7729767184035476
lr_1e-6-epochs_1-fold_0,0.46871414329514893,0.5394736842105263,0.5027027027027027,0.7766260162601627
lr_1e-6-epochs_2-fold_0,0.4915109461198846,0.5460526315789473,0.49594594594594593,0.7772542498152254
lr_2e-6-epochs_2-fold_0,0.652563141389957,0.4473684210526316,0.5283783783783784,0.7748614190687362
lr_1e-6-epochs_3-fold_0,0.5297582099258077,0.5175438596491229,0.4864864864864865,0.7753418329637842
lr_5e-6-epochs_1-fold_0,0.7372319900252862,0.43201754385964913,0.5378378378378378,0.789569475240207
lr_5e-6-epochs_2-fold_0,0.7391808481193957,0.4451754385964912,0.5391891891891892,0.7852365114560237
lr_2e-6-epochs_3-fold_0,0.6810509994867536,0.43201754385964913,0.5418918918918919,0.7705838876570584
lr_1e-6-epochs_5-fold_0,0.566453642570961,0.4956140350877193,0.5013513513513513,0.7829637841832965
lr_1e-5-epochs_1-fold_0,0.7965861729828212,0.3684210526315789,0.504054054054054,0.8090909090909091
lr_2e-6-epochs_5-fold_0,0.7113385786570143,0.4144736842105263,0.5486486486486486,0.7733647450110863
lr_5e-6-epochs_3-fold_0,0.7335378257165966,0.4407894736842105,0.5486486486486486,0.7832039911308205
lr_1e-5-epochs_2-fold_0,0.7968955315324031,0.3355263157894737,0.5175675675675676,0.7937269031781227
lr_2e-5-epochs_1-fold_0,0.7760579995216867,0.35526315789473684,0.5108108108108108,0.7818181818181817
lr_1e-5-epochs_3-fold_0,0.775961933783163,0.37280701754385964,0.5310810810810811,0.7983000739098299
lr_5e-6-epochs_5-fold_0,0.7077408159810393,0.4517543859649123,0.5540540540540541,0.7933665927568367
lr_2e-5-epochs_2-fold_0,0.7921446440999512,0.3442982456140351,0.5891891891891892,0.8280672579453067
lr_3e-5-epochs_1-fold_0,0.8260111758715111,0.34210526315789475,0.5148648648648648,0.754009608277901
lr_2e-5-epochs_3-fold_0,0.7828534748925811,0.3508771929824561,0.5527027027027027,0.8325480413895048
lr_1e-5-epochs_5-fold_0,0.7190174557492992,0.4276315789473684,0.5432432432432432,0.8117516629711752
lr_3e-5-epochs_2-fold_0,0.7467129394503695,0.3223684210526316,0.4554054054054054,0.5890798226164081
lr_5e-5-epochs_1-fold_0,0.779910369994169,0.2850877192982456,0.3972972972972973,0.5130543237250554
lr_3e-5-epochs_3-fold_0,0.7832209431371442,0.3574561403508772,0.39864864864864863,0.45777900960827794
lr_2e-5-epochs_5-fold_0,0.7009083922491742,0.3618421052631579,0.5216216216216216,0.8314948263118995
lr_5e-5-epochs_2-fold_0,0.8129317919820713,0.26535087719298245,0.39864864864864863,0.17008499630450852
lr_1e-6-epochs_1-fold_1,0.4542774109813217,0.5460526315789473,0.5,0.7776422764227643
lr_5e-5-epochs_3-fold_0,0.7924516513901989,0.27850877192982454,0.39594594594594595,0.25194937176644494
